ID,Airline name ,Travel,Time,Stops,Ticket prize(Doller),Depreture  Airport,Depreture Time,1st Stoppage Waiting Hour,1st Stoppage,2nd StoppageWaiting Time,2nd Stoppage,3rd Stoppage Waiting time,3rd Stoppage,Destination Airport,Arrival Time,Arrival Date
1129,Multiple,21h,25m,1,627,DXB,10:45a,16h 25m,HYD,,,,,BKK,04:45p,   Apr 8
1130,Multiple,19h,20m,1,627,DXB,06:20a,14h 5m,HYD,,,,,BKK,02:40p,   Apr 8
1131,Multiple,14h,55m,1,627,DXB,10:45a,9h 40m,HYD,,,,,BKK,09:50a,   Apr 8
1132,Multiple,13h,0m,1,627,DXB,07:10p,7h 40m,HYD,,,,,BKK,07:25p,   Apr 8
1133,Multiple,9h,0m,1,626,DXB,04:00p,3h 5m,BLR,,,,,BKK,07:35a,   Apr 8
1134,Multiple,7h,30m,1,626,DXB,05:30p,1h 35m,BLR,,,,,BKK,01:00p,   Apr 8
1135,Multiple,18h,0m,1,626,DXB,07:00a,12h 0m,BLR,,,,,BKK,08:15a,   Apr 8
1136,Multiple,16h,45m,1,626,DXB,09:30p,11h 20m,BLR,,,,,BKK,02:40p,   Apr 8
1137,Multiple,15h,55m,1,626,DXB,09:05a,10h 0m,BLR,,,,,BKK,06:55p,   Apr 8
1138,Qatar,24h,35m,1,609,DXB,04:10a,19h 50m,DOH,,,,,BKK,12:15p,   Apr 8
1139,Qatar,18h,15m,1,609,DXB,04:10a,13h 30m,DOH,,,,,BKK,06:55p,   Apr 8
1140,Qatar,10h,55m,1,605,DXB,05:50p,6h 15m,DOH,,,,,BKK,01:00p,   Apr 8
1141,Multiple,16h,35m,1,580,DXB,04:00p,11h 0m,BLR,,,,,BKK,07:35a,   Apr 8
1142,Multiple,15h,5m,1,580,DXB,05:30p,9h 30m,BLR,,,,,BKK,12:15p,   Apr 8
1143,Multiple,13h,40m,1,580,DXB,06:55p,7h 50m,BLR,,,,,BKK,06:55p,   Apr 8
1144,Multiple,11h,5m,1,580,DXB,09:30p,5h 30m,BLR,,,,,BKK,01:00p,   Apr 8
1145,Emirates,3h,0m,Non,569,DXB,04:30a,,,,,,,BKK,12:15p,   Apr 8
1146,Hahn Air Systems,29h,0m,1,560,DXB,06:40a,22h 45m,DEL,,,,,BKK,07:35a,   Apr 8
1147,Hahn Air Systems,27h,40m,1,560,DXB,07:20p,21h 0m,DEL,,,,,BKK,01:00p,   Apr 8
1148,Hahn Air Systems,26h,35m,1,560,DXB,08:25p,20h 10m,DEL,,,,,BKK,06:55p,   Apr 8
1149,Hahn Air Systems,25h,15m,1,560,DXB,09:45p,18h 30m,DEL,,,,,BKK,12:15p,   Apr 8
1150,Hahn Air Systems,16h,20m,1,560,DXB,06:40a,9h 45m,DEL,,,,,BKK,06:55p,   Apr 8
1151,Hahn Air Systems,16h,20m,1,560,DXB,07:20p,10h 0m,DEL,,,,,BKK,07:35a,   Apr 8
1152,Hahn Air Systems,15h,15m,1,560,DXB,08:25p,9h 10m,DEL,,,,,BKK,05:20p,   Apr 8
1153,Hahn Air Systems,13h,55m,1,560,DXB,09:45p,7h 30m,DEL,,,,,BKK,04:20p,   Apr 8
